,Autor,Tweet,Local,Data,Hora
0,cejotasep,@Kksefoi @Palmeiras Bora jogar!!!,"São Paulo, Brasil",04-11-2022,20:47:28
1,capiccolo,Se arbitragem não tirasse o o Palmeiras a história seria outra https://t.co/hg1JqGUw5m,"São Paulo, Brasil",04-11-2022,20:46:33
2,zegustavo97,"Troquei uma ideia com o Murilo Possa, técnico do Ibrachina Sub-17, sobre o Alex. Ele elogiou muito o novo lateral do Palmeiras:
“No dia a dia é um menino tranquilo, que precisou de um tempo de adaptação pro modelo de jogo mas quando ganhou confiança ele explodiu. (…) https://t.co/04pW81RlgK","Jundiaí, Brasil",04-11-2022,20:44:55
3,LucasKomagai,"@DeoBorges89 @carloscereto Pra Ganhar Midia,Tem q Falar asneiras sobre o Palmeiras.
Palmeiras da Mta Audiência e vem Dando Audiência.","Mauá, Brasil",04-11-2022,20:40:45
4,EnioEvangelista,@TNTSportsBR Prefiro Abel no Palmeiras. Pensem comigo: quem o substituiria a altura?,"Lorena, Brasil",04-11-2022,20:38:32
5,allanmattos__,"@Frente1947 Vou tentar acompanhar os jogos treinos, Jhonatan falou que inicia já essa semana lá treinos e tem uns 10 jogos marcados, inclusive Palmeiras!","Itu, Brasil",04-11-2022,20:24:18
6,RodrigoCLGO,https://t.co/PvVgVCsG3w,"Goiânia, Brasil",04-11-2022,20:24:17
7,fabio_marcondes,"@QGClubedaFe Eu vi São Paulo 3x2 Palmeiras em 1987 no Pacaembu esse foi muito especial com o meu Tio Zé.
Depois São Paulo 2x1 Santos em 1998 no mesmo estádio","Perdizes, Brasil",04-11-2022,20:23:12
8,cejotasep,@Kksefoi @Palmeiras Eu ouvi R6???,"São Paulo, Brasil",04-11-2022,20:11:14
9,cejotasep,@Palmeiras X1 estagi? Qualquer hora pra vc,"São Paulo, Brasil",04-11-2022,20:10:43
10,ferinwonderland,@Palmeiras Eles estão tão felizes 🥰,"União da Vitória, Brasil",04-11-2022,20:01:03
11,iscxlg,"@mxchelxz tô levando o martinelli por puro clubismo e fodase 

mas O DUDU em hipótese alguma roubaria a vaga dele e do firmino ou até mesmo do Matheus Cunha, nem sendo o principal jogador do Palmeiras","São Paulo, Brasil",04-11-2022,20:00:40
12,brtelesigor1914,Ser Sociedade Esportiva Palmeiras é bom demais. https://t.co/WUeq0dGdZA,"São Paulo, Brasil",04-11-2022,19:58:07
13,mduustb,"02.𝟏𝟏.2022 🏆🇮🇹

Tem nem uma semana desse jogo e eu já estou com saudade de ver meu amor jogar.

#InstaPorco #InstaVerde #Palmeiras #Brasileirão #PalestraItalia #AvantiPalestra https://t.co/YvYbpcV2gT",Allianz Parque,04-11-2022,19:56:20
14,fecanhadas,"Vejam esses prints e entendam a razão pela qual, aos jornaleiros de quinta categoria, só o que resta é o engajamento em cima do Palmeiras. https://t.co/TbA7dg4b3x","São Paulo, Brasil",04-11-2022,19:51:52
15,samuelzera_,"@_Cogo__ esse ai é lunatico, maior rival do Corinthians é o Palmeiras","São Paulo, Brasil",04-11-2022,19:49:02
16,gianoddi,"Cícero Souza, gerente de futebol do Palmeiras, vai estar conosco daqui a pouco no SportsCenter para falar do título brasileiro conquistado na última quarta. Liga aí.","São Paulo, Brasil",04-11-2022,19:44:59
17,Msanta1914,@jantadaflamengo Esse é fácil quero ver o fiquei na frente do Palmeiras kkkk,"São Bernardo do Campo, Brasil",04-11-2022,19:41:38
18,mduustb,"02.𝟏𝟏.2022 🏆🇮🇹

Tem nem uma semana desse jogo e eu já estou com saudade de ver meu amor jogar.

#InstaPorco #InstaVerde #Palmeiras #Brasileirão #PalestraItalia #AvantiPalestra em Allianz Parque https://t.co/cCUICpVw4Y","São Paulo, Brasil",04-11-2022,19:39:30
19,lucas_tozettti,"@bigodeus Então, é aquele papo que falam que 
""Corinthians é rival, palmeiras é inimigo"" 
Acho válido pra caralho, mas sei que é uma pequena parte das torcida que acham isso","São Paulo, Brasil",04-11-2022,19:37:38
20,acscarlos,@DeporFinanzas @Flamengo @Corinthians @Cruzeiro @Palmeiras @Botafogo Todos perde para o Palmeiras !,"Santo André, Brasil",04-11-2022,19:37:11
21,lucas_tozettti,"@bigodeus Acredito que seja uma opinião impopular, mas acho o palmeiras bem mais... por histórico, por ser vizinho, por ter mto confronto em mata mata além do estadual na história do clássico 
E também a rivalidade nos últimos anos voltou a ficar quente","São Paulo, Brasil",04-11-2022,19:34:59
22,JstBallin,@niinasanti Me chamaram de palmeiras lá umas 8x já,"São Paulo, Brasil",04-11-2022,19:30:56
23,GabSS_EN,"Palmeiras é o único que nos últimos 3 anos levantou pelo menos 1 da trinca mais importante de títulos.

Que em 2023 isso se repita 💚 https://t.co/9V5KldSjER","São Paulo, Brasil",04-11-2022,19:26:41
24,Antony_Carvalho,@CeboIinhaaa Paulinho ser cogitado no PALMEIRAS é uma merda.,"Brasília, Brasil",04-11-2022,19:20:44
